num_cidades,alfa_utilizado,beta_utilizado,resultado_distancia,tempo_segundos
232,2.1,4.9,1300.38,12.7744
271,1.97,3.12,1431.77,13.068
197,1.17,1.69,1279.46,28.9345
235,1.16,2.72,1386.22,10.9381
318,0.72,4.58,1637.0,15.9235
170,0.91,3.78,1094.61,22.9075
299,0.58,3.68,1558.31,16.006
284,1.63,4.63,1472.94,13.6768
365,2.25,2.28,1641.54,19.1413
398,1.69,2.72,1735.98,20.7375
220,1.55,4.32,1264.21,10.1357
90,2.49,3.88,835.12,5.6788
282,0.76,1.79,1824.42,14.1108
359,0.8,2.47,1901.31,18.0246
21,1.62,2.85,452.73,0.2197
55,1.51,4.84,696.62,1.7589
383,1.05,4.92,1662.74,20.5555
102,2.4,2.91,920.82,7.374
231,1.81,4.92,1229.68,10.0643
61,0.78,4.53,675.43,2.9684
279,1.89,4.63,1399.29,13.4871
211,0.94,1.71,1381.29,9.3714
35,1.9,2.21,517.2,1.0723
114,1.34,1.72,875.95,8.1284
74,2.41,4.23,685.65,4.2144
159,2.3,3.81,1099.69,17.3902
328,1.64,3.02,1567.68,16.1386
138,2.28,3.08,942.33,12.9927
114,2.36,2.57,900.7,8.9545
267,1.18,3.51,1403.53,12.5269
104,0.75,3.17,857.69,7.6054
346,2.19,3.18,1619.18,17.2579
262,2.23,2.19,1356.2,12.4555
400,1.58,3.3,1721.52,21.5591
377,1.97,1.71,1754.68,19.8853
399,2.01,3.54,1664.61,20.5966
146,2.14,3.99,1045.68,15.2685
307,0.65,4.06,1610.5,15.4682
108,2.43,2.59,906.74,7.2578
178,1.59,1.99,1129.52,23.0132
69,2.46,2.86,693.53,3.5841
359,1.24,1.76,1801.34,18.1432
95,1.49,2.9,775.98,6.3806
91,0.57,2.04,933.32,6.9478
299,1.23,2.24,1546.9,14.5309
59,1.47,4.16,656.66,2.7828
324,1.33,3.53,1570.59,18.2942
173,2.3,1.56,1096.78,21.7337
183,1.79,2.06,1103.78,24.1902
243,0.64,1.92,1728.92,11.3828
160,2.14,3.29,1048.05,21.2188
119,0.6,3.73,958.81,8.1703
137,2.29,4.25,983.45,11.2623
107,0.61,2.78,947.16,6.2174
49,2.29,2.41,656.77,0.8436
35,1.2,2.32,467.97,0.4193
89,0.74,3.86,783.81,3.6095
43,0.9,4.57,559.17,0.6281
139,0.55,2.59,1177.55,11.7002
93,1.37,4.61,869.93,4.9067
381,1.96,1.59,1622.53,29.3788
368,1.62,3.29,1641.72,26.8325
319,0.8,4.41,1612.82,20.7806
109,1.26,3.13,866.64,6.7696
81,0.68,3.91,836.41,2.7981
70,1.18,3.59,671.58,2.017
211,2.28,1.98,1267.41,10.1786
292,1.97,3.77,1477.17,16.5962
61,0.8,3.12,716.34,1.4501
200,1.36,2.09,1273.48,31.2748
25,0.72,2.38,394.24,0.2451
153,1.35,3.52,1074.8,14.77
120,0.73,2.41,1027.24,8.689
51,1.08,4.57,577.49,0.9482
208,1.08,3.81,1220.56,9.9003
382,1.38,3.55,1706.17,29.359
21,0.81,4.98,424.39,0.1541
219,1.25,2.71,1275.66,10.7144
183,2.06,3.5,1145.14,24.7108
97,2.48,4.43,798.08,4.448
365,0.91,4.03,1734.56,27.3858
266,1.64,3.38,1450.11,15.1575
354,1.34,4.87,1641.57,24.1713
199,0.72,3.15,1290.22,29.2374
314,1.02,3.48,1573.21,20.4026
93,1.64,4.68,758.64,4.0395
321,1.58,4.33,1553.57,21.084
260,2.11,1.99,1452.32,14.5621
67,2.33,2.95,743.36,1.7618
52,1.75,3.93,602.21,1.1924
80,1.38,2.92,744.92,3.4605
379,0.82,3.41,1892.02,27.9266
322,2.27,2.53,1540.77,21.243
140,0.7,1.88,1210.85,14.0978
205,2.11,4.84,1226.65,11.7423
275,1.48,1.62,1510.0,18.1773
377,2.42,1.64,1721.94,28.2211
323,2.32,1.96,1630.57,20.2012
101,0.84,2.24,879.97,5.8318
155,0.92,3.73,1062.55,15.7134
111,2.45,4.61,858.85,9.4862
119,0.72,3.78,932.25,7.3968
387,1.56,2.87,1715.53,29.9554
186,1.1,2.5,1214.19,25.1168
241,1.46,4.9,1295.01,12.6497
338,0.9,3.08,1667.23,24.0657
51,1.35,3.3,597.57,0.9768
76,1.43,2.15,758.12,2.5043
392,2.45,2.64,1689.78,30.9797
323,0.54,1.86,2179.24,24.178
39,2.49,2.16,597.99,0.5114
43,0.81,3.47,596.56,0.6965
308,1.56,3.45,1569.34,18.8821
221,1.05,4.16,1360.41,10.7357
228,2.35,2.56,1291.56,12.8394
